题号,题干长度,选项数,缺少选项,有答案,有解析,解析长度,问题数,具体问题
2024,98,0,A|B|C|D,否,否,0,3,完全缺少选项|缺少答案|缺少解析
1,34,4,无,否,否,0,2,缺少答案|缺少解析
2,127,4,无,否,否,0,2,缺少答案|缺少解析
3,180,4,无,否,否,0,2,缺少答案|缺少解析
4,88,4,无,否,否,0,2,缺少答案|缺少解析
5,131,4,无,否,否,0,2,缺少答案|缺少解析
6,81,4,无,否,否,0,2,缺少答案|缺少解析
7,82,4,无,否,否,0,2,缺少答案|缺少解析
8,76,4,无,否,否,0,2,缺少答案|缺少解析
9,79,4,无,否,否,0,2,缺少答案|缺少解析
10,124,4,无,否,否,0,3,完全缺少选项|缺少答案|缺少解析
11,82,4,无,否,否,0,2,缺少答案|缺少解析
12,213,4,无,否,否,0,2,缺少答案|缺少解析
13,135,4,无,否,否,0,2,缺少答案|缺少解析
14,84,4,无,否,否,0,2,缺少答案|缺少解析
15,58,4,无,否,否,0,2,缺少答案|缺少解析
16,67,4,无,否,否,0,2,缺少答案|缺少解析
17,138,4,无,否,否,0,2,缺少答案|缺少解析
18,205,4,无,否,否,0,2,缺少答案|缺少解析
19,81,4,无,否,否,0,2,缺少答案|缺少解析
20,161,4,无,否,否,0,2,缺少答案|缺少解析
21,140,4,无,否,否,0,2,缺少答案|缺少解析
22,53,4,无,否,否,0,2,缺少答案|缺少解析
23,77,4,无,否,否,0,2,缺少答案|缺少解析
24,133,4,无,否,否,0,2,缺少答案|缺少解析
25,120,4,无,否,否,0,2,缺少答案|缺少解析
26,169,4,无,否,否,0,2,缺少答案|缺少解析
27,108,4,无,否,否,0,2,缺少答案|缺少解析
28,93,4,无,否,否,0,2,缺少答案|缺少解析
30,391,0,A|B|C|D,否,否,0,3,完全缺少选项|缺少答案|缺少解析
30,155,4,无,否,否,0,3,完全缺少选项|缺少答案|缺少解析
30,425,0,A|B|C|D,否,否,0,3,完全缺少选项|缺少答案|缺少解析
31,189,4,无,否,否,0,2,缺少答案|缺少解析
32,18,4,无,否,否,0,2,缺少答案|缺少解析
33,100,4,无,否,否,0,2,缺少答案|缺少解析
34,86,4,无,否,否,0,2,缺少答案|缺少解析
35,115,4,无,否,否,0,2,缺少答案|缺少解析
36,97,4,无,否,否,0,2,缺少答案|缺少解析
37,117,4,无,否,否,0,2,缺少答案|缺少解析
38,98,4,无,否,否,0,2,缺少答案|缺少解析
39,65,4,无,否,否,0,2,缺少答案|缺少解析
40,94,4,无,否,否,0,2,缺少答案|缺少解析
41,72,4,无,否,否,0,2,缺少答案|缺少解析
42,126,4,无,否,否,0,2,缺少答案|缺少解析
43,67,4,无,否,否,0,2,缺少答案|缺少解析
44,152,4,无,否,否,0,2,缺少答案|缺少解析
45,54,4,无,否,否,0,2,缺少答案|缺少解析
46,93,4,无,否,否,0,2,缺少答案|缺少解析
47,172,1,B|C|D,否,否,0,3,缺少选项: B, C, D|缺少答案|缺少解析
48,138,4,无,否,否,0,2,缺少答案|缺少解析
49,51,4,无,否,否,0,2,缺少答案|缺少解析
50,133,4,无,否,否,0,2,缺少答案|缺少解析
51,77,4,无,否,否,0,2,缺少答案|缺少解析
52,68,4,无,否,否,0,2,缺少答案|缺少解析
53,66,4,无,否,否,0,2,缺少答案|缺少解析
54,43,4,无,否,否,0,2,缺少答案|缺少解析
55,108,4,无,否,否,0,2,缺少答案|缺少解析
56,93,4,无,否,否,0,2,缺少答案|缺少解析
57,140,4,无,否,否,0,2,缺少答案|缺少解析
58,141,4,无,否,否,0,2,缺少答案|缺少解析
59,31,4,无,否,否,0,2,缺少答案|缺少解析
60,94,4,无,否,否,0,2,缺少答案|缺少解析
61,42,4,无,否,否,0,2,缺少答案|缺少解析
62,138,4,无,否,否,0,2,缺少答案|缺少解析
63,153,4,无,否,否,0,2,缺少答案|缺少解析
64,130,4,无,否,否,0,2,缺少答案|缺少解析
65,118,4,无,否,否,0,2,缺少答案|缺少解析
66,117,4,无,否,否,0,2,缺少答案|缺少解析
67,52,4,无,否,否,0,2,缺少答案|缺少解析
68,172,4,无,否,否,0,2,缺少答案|缺少解析
69,83,4,无,否,否,0,2,缺少答案|缺少解析
70,450,0,A|B|C|D,否,否,0,2,缺少答案|缺少解析
70,138,4,无,否,否,0,2,缺少答案|缺少解析
71,111,4,无,否,否,0,2,缺少答案|缺少解析
72,104,4,无,否,否,0,2,缺少答案|缺少解析
73,145,4,无,否,否,0,2,缺少答案|缺少解析
74,15,4,无,否,否,0,2,缺少答案|缺少解析
75,43,4,无,否,否,0,2,缺少答案|缺少解析
76,82,4,无,否,否,0,2,缺少答案|缺少解析
77,80,4,无,否,否,0,2,缺少答案|缺少解析
78,71,4,无,否,否,0,2,缺少答案|缺少解析
79,54,4,无,否,否,0,2,缺少答案|缺少解析
10,94,0,A|B|C|D,否,否,0,3,完全缺少选项|缺少答案|缺少解析
10,75,0,A|B|C|D,否,否,0,3,完全缺少选项|缺少答案|缺少解析
80,449,0,A|B|C|D,否,否,0,2,缺少答案|缺少解析
80,80,4,无,否,否,0,2,缺少答案|缺少解析
81,84,4,无,否,否,0,2,缺少答案|缺少解析
82,66,4,无,否,否,0,2,缺少答案|缺少解析
83,109,4,无,否,否,0,2,缺少答案|缺少解析
84,178,4,无,否,否,0,2,缺少答案|缺少解析
85,54,4,无,否,否,0,2,缺少答案|缺少解析
86,40,4,无,否,否,0,2,缺少答案|缺少解析
87,165,4,无,否,否,0,2,缺少答案|缺少解析
88,77,4,无,否,否,0,2,缺少答案|缺少解析
89,287,0,A|B|C|D,否,否,0,3,完全缺少选项|缺少答案|缺少解析
89,77,4,无,否,否,0,3,完全缺少选项|缺少答案|缺少解析
89,309,0,A|B|C|D,否,否,0,3,完全缺少选项|缺少答案|缺少解析
90,108,4,无,否,否,0,2,缺少答案|缺少解析
91,13,4,无,否,否,0,2,缺少答案|缺少解析
92,121,4,无,否,否,0,2,缺少答案|缺少解析
93,122,4,无,否,否,0,2,缺少答案|缺少解析
94,147,4,无,否,否,0,2,缺少答案|缺少解析
95,176,4,无,否,否,0,2,缺少答案|缺少解析
96,200,4,无,否,否,0,2,缺少答案|缺少解析
97,86,4,无,否,否,0,2,缺少答案|缺少解析
98,107,4,无,否,否,0,2,缺少答案|缺少解析
99,614,0,A|B|C|D,否,否,0,3,完全缺少选项|缺少答案|缺少解析
99,96,4,无,否,否,0,3,完全缺少选项|缺少答案|缺少解析
99,634,0,A|B|C|D,否,否,0,3,完全缺少选项|缺少答案|缺少解析
100,81,4,无,否,否,0,2,缺少答案|缺少解析
